"시점",합계
"2005. 01",54576
"2005. 02",49801
"2005. 03",62629
"2005. 04",58217
"2005. 05",63355
"2005. 06",61224
"2005. 07",58363
"2005. 08",66493
"2005. 09",56326
"2005. 10",55027
"2005. 11",67216
"2005. 12",67362
"2006. 01",57868
"2006. 02",61420
"2006. 03",66112
"2006. 04",64646
"2006. 05",68775
"2006. 06",64239
"2006. 07",61863
"2006. 08",64325
"2006. 09",56435
"2006. 10",59806
"2006. 11",59701
"2006. 12",65702
"2007. 01",65898
"2007. 02",61308
"2007. 03",55625
"2007. 04",58718
"2007. 05",64198
"2007. 06",59445
"2007. 07",59096
"2007. 08",55232
"2007. 09",43547
"2007. 10",61393
"2007. 11",56365
"2007. 12",56678
"2008. 01",74810
"2008. 02",51348
"2008. 03",62490
"2008. 04",61590
"2008. 05",64288
"2008. 06",59893
"2008. 07",67113
"2008. 08",65398
"2008. 09",61963
"2008. 10",65011
"2008. 11",62181
"2008. 12",68020
"2009. 01",64222
"2009. 02",62939
"2009. 03",66304
"2009. 04",67594
"2009. 05",76590
"2009. 06",71147
"2009. 07",74736
"2009. 08",72010
"2009. 09",67039
"2009. 10",62224
"2009. 11",72872
"2009. 12",65785
"2010. 01",70578
"2010. 02",63205
"2010. 03",67031
"2010. 04",64962
"2010. 05",72940
"2010. 06",72912
"2010. 07",72679
"2010. 08",70616
"2010. 09",59259
"2010. 10",62451
"2010. 11",67161
"2010. 12",66430
"2011. 01",62700
"2011. 02",57294
"2011. 03",63047
"2011. 04",59768
"2011. 05",68537
"2011. 06",58146
"2011. 07",63132
"2011. 08",66122
"2011. 09",58935
"2011. 10",60135
"2011. 11",70084
"2011. 12",66695
"2012. 01",63856
"2012. 02",70268
"2012. 03",64791
"2012. 04",59916
"2012. 05",73739
"2012. 06",62555
"2012. 07",72446
"2012. 08",65950
"2012. 09",57957
"2012. 10",65759
"2012. 11",70742
"2012. 12",60196
"2013. 01",72412
"2013. 02",57788
"2013. 03",66267
"2013. 04",64829
"2013. 05",70665
"2013. 06",70588
"2013. 07",75421
"2013. 08",77065
"2013. 09",62141
"2013. 10",70450
"2013. 11",75503
"2013. 12",70075
"2014. 01",68765
"2014. 02",69230
"2014. 03",74876
"2014. 04",68899
"2014. 05",80154
"2014. 06",69800
"2014. 07",83785
"2014. 08",75466
"2014. 09",66919
"2014. 10",73412
"2014. 11",77040
"2014. 12",71340
"2015. 01",76236
"2015. 02",61589
"2015. 03",73028
"2015. 04",68977
"2015. 05",75086
"2015. 06",68403
"2015. 07",75823
"2015. 08",73245
"2015. 09",67766
"2015. 10",75450
"2015. 11",69950
"2015. 12",69647
"2016. 01",76264
"2016. 02",61091
"2016. 03",71623
"2016. 04",61312
"2016. 05",67048
"2016. 06",58488
"2016. 07",65808
"2016. 08",61275
"2016. 09",56858
"2016. 10",70315
"2016. 11",69138
"2016. 12",72487
"2017. 01",66245
"2017. 02",64787
"2017. 03",69254
"2017. 04",60974
"2017. 05",73293
"2017. 06",62335
"2017. 07",74594
"2017. 08",69017
"2017. 09",62544
"2017. 10",61089
"2017. 11",68751
"2017. 12",70847
"2018. 01",70282
"2018. 02",61227
"2018. 03",71534
"2018. 04",62997
"2018. 05",67582
"2018. 06",61313
"2018. 07",67246
"2018. 08",60455
"2018. 09",59638
"2018. 10",62955
"2018. 11",68653
"2018. 12",62239
"2019. 01",68351
"2019. 02",56429
"2019. 03",60939
"2019. 04",56297
"2019. 05",66066
"2019. 06",57492
"2019. 07",62927
"2019. 08",58551
"2019. 09",51552
"2019. 10",61874
"2019. 11",63496
"2019. 12",61651
"2020. 01",57266
"2020. 02",53867
"2020. 03",53457
"2020. 04",51752
"2020. 05",57321
"2020. 06",58791
"2020. 07",54789
"2020. 08",50872
"2020. 09",49615
"2020. 10",50870
"2020. 11",50514
"2020. 12",54999
"2021. 01",52924
"2021. 02",46437
"2021. 03",54766
"2021. 04",52170
"2021. 05",53526
"2021. 06",52589
"2021. 07",48998
"2021. 08",50581
"2021. 09",48733
"2021. 10",51049
"2021. 11",54518
"2021. 12",571
