"시점","월별(1)",서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주
"시점","월별(1)",사고건수 (건),사고건수 (건),사고건수 (건),사고건수 (건),사고건수 (건),사고건수 (건),사고건수 (건),사고건수 (건),사고건수 (건),사고건수 (건),사고건수 (건),사고건수 (건),사고건수 (건),사고건수 (건),사고건수 (건),사고건수 (건),사고건수 (건)
"2015","1월",2967,1014,1106,631,627,469,438,33,3737,620,633,628,648,773,1121,1069,388
"2015","2월",2682,853,986,601,520,356,354,31,3297,531,595,611,574,718,995,946,289
"2015","3월",3384,1064,1148,728,668,517,400,37,4148,634,711,782,737,820,1291,1195,352
"2015","4월",3506,1110,1169,695,676,566,441,47,4415,707,778,763,767,907,1298,1149,392
"2015","5월",3669,1133,1306,826,693,586,442,61,4577,790,827,876,826,916,1435,1189,391
"2015","6월",3390,1019,1129,713,591,519,459,55,4141,687,739,815,727,914,1244,1128,379
"2015","7월",3647,1082,1298,737,692,652,502,55,4583,821,824,820,772,857,1353,1183,400
"2015","8월",3567,1089,1141,746,595,606,450,41,4586,881,796,783,733,908,1418,1099,425
"2015","9월",3711,1080,1223,687,696,647,458,42,4898,815,832,883,812,978,1427,1238,384
"2015","10월",3820,1140,1276,810,707,659,486,46,5000,824,909,910,806,943,1567,1233,451
"2015","11월",3794,1132,1280,814,732,689,497,50,5117,861,905,800,787,842,1327,1150,393
"2015","12월",3528,1041,1166,739,667,635,441,38,4455,741,786,750,684,844,1276,1098,401
"2016","1월",3060,1006,1074,744,552,584,373,43,4264,662,656,592,529,622,1039,998,269
"2016","2월",2710,917,882,632,566,535,356,34,3768,612,650,599,533,630,973,938,329
"2016","3월",3355,1006,1147,694,615,598,390,46,4015,663,730,699,616,747,1188,1074,363
"2016","4월",3498,1046,1134,766,660,648,437,43,4405,734,838,832,700,797,1340,1185,389
"2016","5월",3604,1066,1193,754,610,638,386,44,4489,754,824,823,746,898,1327,1059,339
"2016","6월",3315,989,1051,650,597,623,365,46,4082,707,782,732,641,778,1217,1047,355
"2016","7월",3467,1040,1092,708,627,615,389,41,4303,799,808,768,705,847,1261,1048,437
"2016","8월",3268,974,1030,690,620,631,364,46,4128,845,819,734,693,845,1259,1055,397
"2016","9월",3328,1010,1095,648,567,619,350,45,3991,701,775,711,665,827,1234,982,335
"2016","10월",3652,985,1147,811,651,684,358,37,4640,829,907,853,700,877,1319,1065,403
"2016","11월",3331,1078,1108,732,656,699,368,49,4440,795,872,842,685,855,1289,1040,395
"2016","12월",3451,1075,1145,706,633,661,360,47,4488,740,731,777,637,781,1183,1031,423
"2017","1월",3166,927,933,655,586,628,329,35,4172,718,630,678,541,741,955,910,366
"2017","2월",2728,857,982,586,563,546,308,41,3359,499,570,567,544,598,961,791,332
"2017","3월",3098,988,1049,629,671,586,331,46,3805,618,711,706,614,719,1138,1016,322
"2017","4월",3172,955,1032,669,602,597,370,64,4051,677,711,738,644,847,1186,1022,380
"2017","5월",3284,1014,1083,643,631,686,353,62,4160,750,840,827,695,900,1244,1006,324
"2017","6월",3247,974,1117,627,602,641,327,53,4197,680,779,822,676,798,1166,977,364
"2017","7월",3268,1029,1076,681,587,658,375,57,4165,748,760,795,639,771,1156,979,414
"2017","8월",3308,1040,1080,657,625,702,343,66,4320,780,843,804,672,855,1213,985,389
"2017","9월",3488,1058,1174,662,703,665,370,98,4714,750,907,909,755,880,1295,1046,417
"2017","10월",3312,971,1163,606,635,673,349,74,4464,706,839,823,716,922,1258,1021,331
"2017","11월",3375,958,1146,641,647,700,381,68,4732,746,907,820,648,920,1236,1060,392
"2017","12월",3179,982,1135,663,647,685,429,82,4488,644,776,752,604,819,1088,929,347
"2018","1월",3192,965,1044,694,562,547,341,57,4405,588,621,596,533,668,1023,859,331
"2018","2월",2973,859,908,636,515,567,313,73,4327,522,692,632,489,665,961,807,269
"2018","3월",3072,1019,1030,585,607,599,364,81,3932,526,763,713,549,762,1097,952,371
"2018","4월",3219,963,1105,613,598,622,330,88,4327,593,821,773,605,841,1204,958,332
"2018","5월",3454,1016,1165,666,645,630,318,76,4445,662,787,799,599,843,1212,968,351
"2018","6월",3253,969,1116,606,618,645,337,69,4397,635,818,725,569,798,1169,967,391
"2018","7월",3321,1030,1152,671,639,617,297,62,4610,663,855,745,555,863,1240,996,383
"2018","8월",3203,1021,1130,598,639,673,328,52,4359,717,841,756,585,859,1236,961,377
"2018","9월",3144,1007,1122,679,643,623,318,50,4504,683,820,767,623,857,1223,970,338
"2018","10월",3500,1029,1131,674,666,684,390,65,4845,678,881,831,652,984,1282,1091,355
"2018","11월",3243,1039,1198,611,672,709,336,65,4765,654,934,742,626,843,1200,990,402
"2018","12월",3221,1020,1098,599,655,638,320,57,4532,577,785,728,544,804,1119,974,339
"2019","1월",2983,996,1035,591,581,604,287,66,4093,535,681,586,491,793,1017,868,345
"2019","2월",2482,951,961,532,511,590,273,67,3582,457,581,582,516,678,865,816,308
"2019","3월",3099,1067,1200,655,633,670,336,83,4335,557,771,721,592,847,1121,1069,377
"2019","4월",3283,1100,1249,738,692,697,355,77,4535,582,794,759,623,911,1198,1139,372
"2019","5월",3497,1127,1282,782,724,816,408,75,4985,651,878,864,713,1001,1397,1184,395
"2019","6월",3290,1014,1226,681,652,684,366,83,4513,621,802,826,651,906,1269,1057,327
"2019","7월",3311,1159,1168,759,658,706,376,76,4569,712,797,804,622,872,1199,1071,375
"2019","8월",3447,1128,1196,743,690,731,375,79,4670,774,851,833,705,943,1302,1120,405
"2019","9월",3313,1054,1217,736,743,658,364,76,4626,640,822,802,637,924,1239,1128,352
"2019","10월",3634,1201,1372,829,726,777,417,90,5392,704,902,916,721,1087,1367,1150,405
"2019","11월",3669,1100,1372,854,797,718,407,82,5226,688,892,947,706,1030,1462,1186,381
"2019","12월",3250,1095,1258,798,762,686,383,68,4937,633,767,764,638,885,1212,1042,370
"2020","1월",2788,1022,1102,635,673,566,333,73,4081,617,648,714,573,836,1030,928,349
"2020","2월",2999,925,917,783,596,600,286,66,4213,501,630,619,482,709,858,819,282
"2020","3월",2561,870,778,610,595,535,293,74,3730,478,597,586,489,764,801,883,305
"2020","4월",2724,933,975,647,620,593,307,46,4129,505,697,651,511,705,959,915,269
"2020","5월",3139,1039,1129,748,673,638,299,62,4522,618,699,786,544,874,1097,992,325
"2020","6월",3189,1045,1151,721,723,644,334,61,4673,684,755,827,580,963,1181,1149,337
"2020","7월",3162,1055,1170,763,577,636,320,57,4645,630,721,754,553,764,1138,987,370
"2020","8월",2926,1029,1136,715,642,564,339,51,4142,627,721,766,537,831,1140,1064,386
"2020","9월",2991,954,1215,711,633,624,309,94,4504,629,759,829,579,869,1086,986,352
"2020","10월",3122,1064,1238,730,705,614,331,79,4731,652,802,921,612,924,1226,1103,401
"2020","11월",3007,1054,1117,771,651,650,365,79,4710,609,768,774,556,799,1150,1015,363
"2020","12월",2619,923,1012,671,630,551,318,71,4311,489,601,725,435,778,1007,898,291
"2021","1월",2717,858,893,669,495,519,272,55,3890,455,560,550,428,591,854,831,272
"2021","2월",2505,820,918,607,500,520,262,50,3819,429,545,587,423,612,811,798,305
"2021","3월",2789,1005,1074,623,598,589,355,50,4282,506,649,641,530,727,968,868,346
"2021","4월",2952,965,1027,690,688,604,331,82,4444,534,666,785,506,726,1047,990,366
"2021","5월",2963,944,1063,702,626,596,307,77,4485,565,717,725,502,745,1012,962,387
"2021","6월",2990,977,1030,685,675,565,338,71,4555,626,707,730,516,750,1057,920,383
"2021","7월",2874,1001,1043,629,700,644,356,70,4638,664,775,735,577,770,1107,1001,410
"2021","8월",2778,862,968,642,622,556,299,62,4285,569,617,685,490,748,986,867,382
"2021","9월",2737,1000,981,646,615,615,329,58,4531,568,698,747,521,738,995,898,335
"2021","10월",2814,1003,1056,679,666,649,345,67,4855,619,728,811,588,823,1168,1006,423
"2021","11월",2925,998,1088,663,711,603,300,71,4819,563,692,770,577,760,1121,1032,403
"2021","12월",2869,906,992,677,647,567,307,75,4729,507,631,657,454,695,974,886,361
