"시점","월별(1)",계
"시점","월별(1)",합계
"시점","월별(1)",실적 (건)
"2016","1월",248426
"2016","2월",202169
"2016","3월",253121
"2016","4월",237131
"2016","5월",251621
"2016","6월",223390
"2016","7월",244890
"2016","8월",228521
"2016","9월",218522
"2016","10월",256912
"2016","11월",248332
"2016","12월",253295
"2017","1월",219578
"2017","2월",219624
"2017","3월",255102
"2017","4월",234293
"2017","5월",279611
"2017","6월",233108
"2017","7월",262994
"2017","8월",247719
"2017","9월",246422
"2017","10월",221593
"2017","11월",253468
"2017","12월",255158
"2018","1월",237893
"2018","2월",208722
"2018","3월",257191
"2018","4월",237446
"2018","5월",265300
"2018","6월",228152
"2018","7월",248124
"2018","8월",230871
"2018","9월",228858
"2018","10월",240652
"2018","11월",265668
"2018","12월",234393
"2019","1월",238712
"2019","2월",197949
"2019","3월",234119
"2019","4월",228082
"2019","5월",254986
"2019","6월",224933
"2019","7월",243983
"2019","8월",235244
"2019","9월",212622
"2019","10월",239142
"2019","11월",244865
"2019","12월",236455
"2020","1월",206758
"2020","2월",199657
"2020","3월",208239
"2020","4월",193247
"2020","5월",231927
"2020","6월",226746
"2020","7월",231564
"2020","8월",224448
"2020","9월",215954
"2020","10월",216183
"2020","11월",222658
"2020","12월",234020
