"시점","월별(1)",전체
"2016","1월",14916
"2016","2월",13785
"2016","3월",14990
"2016","4월",16587
"2016","5월",17690
"2016","6월",16729
"2016","7월",16631
"2016","8월",16727
"2016","9월",17600
"2016","10월",18884
"2016","11월",17005
"2016","12월",16295
"2017","1월",17208
"2017","2월",14481
"2017","3월",16310
"2017","4월",17517
"2017","5월",19188
"2017","6월",18188
"2017","7월",17856
"2017","8월",18598
"2017","9월",19586
"2017","10월",21057
"2017","11월",18243
"2017","12월",18409
"2018","1월",16554
"2018","2월",16041
"2018","3월",17135
"2018","4월",17803
"2018","5월",19098
"2018","6월",18417
"2018","7월",18194
"2018","8월",19002
"2018","9월",20355
"2018","10월",20235
"2018","11월",18879
"2018","12월",17864
"2019","1월",17324
"2019","2월",16710
"2019","3월",18634
"2019","4월",18714
"2019","5월",20274
"2019","6월",19617
"2019","7월",19147
"2019","8월",19783
"2019","9월",20251
"2019","10월",21319
"2019","11월",19701
"2019","12월",19223
"2020","1월",18061
"2020","2월",14399
"2020","3월",13731
"2020","4월",15267
"2020","5월",17873
"2020","6월",17812
"2020","7월",17755
"2020","8월",17100
"2020","9월",16859
"2020","10월",19000
"2020","11월",16891
"2020","12월",14545
